Break a leg!,"na. 〈非正式〉祝好运
"
come to naught,"na. 毫无结果；失败
"
come to one's senses,"na. 恢复理性；恢复知觉；苏醒过来；醒悟过来
"
come to terms with ...,"un. 谈得拢；和…达成协议；与…友好相处；追恋
"
come to terms,"na. 谈判成功；投降
"
come to the fore,"na. 发作；惹人注意
"
come to the point,"na. 说正题
"
get to the point, 言归正传；有话直说；有话直说，别吞吞吐吐
come to think of it,"na. 这样一想
"
come up,"na. 走近；上升；抬头；(暴风雨等)起
"
come up from behind,无
come up in the world,"un. 出生；成功
"
come up with ...,"na. 想出(一个主意或计划)；提出；提供；筹措
"
come what may,"na. 反正都
"
come a cropper,"na. (从马上等)摔下来；垮台；大失败
"
Come again?,"na. 请再说一遍
"
come again,"na. 请再说一遍
"
come along with sb.,"v. 随同
"
come along,"na. 进步；同意；一道来；请过来
"
Come and get it!,[口语]饭准备好了，来吃吧!
come around,"na. 赶上；达到；袭击
"
come round,"na. 苏醒；(生气的人)消除怒气；(病后)复原；(从某处)转来
"
come at ...,"v. 得到；达到
"
come back,"na. 回来；想起来；〔口语〕复原；归
"
come by sth.,"na. 到手；通过附近；〔美俚〕拜访
"
come by sth. honestly,vi. 继承
come clean with sb.,无
come down,"na. 败落；退步；(飞机的)下降
"
come home,"na. 回国；回家；使人沉痛地感到；【航】锚脱掉
"
come in,"na. 进入；当选；上台；(党派)组阁
"
come in for sth.,"na. 来取；接受；受到(处分等)
"
fall in for sth.,"na. 参与
"
come into sth.,"na. 归入；开始；得到；缔结
"
come off,"na. 同“come across”；(人)走了；(扣子,齿,发)脱落
"
come one's way,同意
come out,"na. 出来
"
come out for ...,"声明支持;表示同意,赞同;出去(散步、野餐、远足等)"
come out of nowhere, 突然出现；无中生有；突然莫名其妙地发生
come over,"na. 渡过来；(从敌方)过来；变挂；〔口语〕欺骗
"
come through,"na. 胜利；脱险；支付；捐献
"
come to,"na. 总计为；结果是；苏醒；把船朝着风头
"
come to a bad end,"un. 到年底；不会有好下场
"
come to an end,"na. 完结
"
come to an untimely end,"na. 短命
"
come to grief,"na. 失败；受伤；受欺负；出毛病
"
come to pass,"na. (事情)发生；兴起
"
come to rest,"v. 停止移动
"
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
"
come unglued, 情急心躁。; emotionally upset and lacking composure (informal)
come upon ...,"na. 碰到；忽然想到；突袭；要求
"
come on ...,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
"
do a double-take,"na. 后来才明白了
"
do an about face on sth.,无
do an about face,无
do a flip-flop on sth.,无
do a flip-flop,无
do a job on ..., 损坏；损毁；狠狠地整某人
do a land office business, 门庭若市
do a number on ..., 占……的便宜；伤害；造成伤害
do away with ...,"na. 废除；干掉
"
do by sb.,na. 对待
do credit to sb.,"v. 归功于
"
do sb. credit,无
do justice to ...,"na. 公平评判；公平对待；逼真；大吃
"
do ... justice, 公平对待；和…酷似；秉行公正
do one's own thing,[口语]以自己的独特方式(或风格、特长等)表现自己的性格；干自己最喜欢(或拿手、擅长)的事；放手行事；一意孤行，为所欲为
do one's thing,"na. 做自己喜欢做的事
"
do sb. good,"v. 有益
"
do ... in,"na. 欺骗；害死；累垮
"
do in ...,"na. 欺骗；害死；累垮
"
do sb. out of sth.,"v. 骗取
"
do sb. proud, 足以使；骄傲；足以使……骄傲
do up ...,"v. 修缮；收拾
"
do ... up,"v. 修缮；收拾
"
do one's heart good,使(某人)从心眼里面高兴(或欢喜)；使(某人)欢欣鼓舞
do sth. over again, 返工
do sth. over,"na. 重做；重新装饰(房屋等)
"
do sth. the hard way,无
do the honors,"na. 尽地主之谊
"
do the trick,"na. 达到目的
"
do a snow job on sb.,"对…自吹自擂,欺骗,哄骗…"
do damage to sb.,"na. 损害
"
do one's best,"na. 竭尽所能；尽力
"
do one's duty,"na. 尽义务；尽职；尽(友)谊；服兵役
"
do one's part,"na. 尽自己本分
"
do one's bit,"na. 见 bit 条
"
do ... over,"na. 重做；重新装饰(房屋等)
"
make ... over,"na. 让；改造
"
do over ...,"na. 重做；重新装饰(房屋等)
"
make over ...,"na. 让；改造
"
do sth. by hand,无
do sth. up brown,"un. 细心搞好；把…细心地搞好
"
get a black eye, 被别人打青了眼睛；被人打青了眼眶；被打青了眼睛
have a black eye,无
get a break,"na. 时来运转
"
have a break,"v. 休息一下
"
get a bright idea,无
have a bright idea,无
get a charge out of ..., 从……中得到快感；因…而感到兴奋
get a kick out of ..., 从……中得到乐趣；从某事得到乐趣；从…得到乐趣
get a bang out of ..., 从中得到快乐；从中得到很大的乐趣；得到无比快乐
get a check-up,无
have a check-up,无
get a clean bill of health,无
have a clean bill of health,无
get a dirty look from sb.,无
get a dirty look,无
get a fair shake, 一视同仁；受到公平待遇
get a free hand with sth.,无
have a free hand with sth.,无
get a free hand, 全权负责
have a free hand,"na. 有行动自由
"
get a grasp of sth.,无
have a grasp of sth.,"掌握,通晓"
get a hand for sth.,无
get a hand,无
get a hand with sth.,无
have a hand with sth.,无
get a handle on sth., 控制；解决；掌握
have a handle on sth., 误入迷途
get a head start on ...,无
have a head start on ...,无
get a head start,良好的开端
have a head start, 有先起步的优势；领先；抢先动手
get a move on,"na. 〈口〉快点；赶快行动
"
get a hurry on,无
get a reputation as ...,无
have a reputation as ...,无
get a reputation,无
get a reputation for doing sth.,无
have a reputation for doing sth.,无
get a rise out of sb., 得到……强烈的反应；惹人生气以取乐；取笑
get a rough idea of sth.,无
get a rough idea about sth.,无
have a rough idea of sth.,无
have a rough idea about sth.,无
get a rough idea,无
have a rough idea,无
get a run for one's money,无
get a slap on the wrist,无
get a swelled head,自以为了不起
have a swelled head,自以为了不起
get a tongue-lashing,无
have a tongue-lashing,无
get a word in edgewise, 插不上嘴；向边缘；在边缘
get a word in edgeways,"na. 插嘴
"
get about,"na. 走动；旅行；(消息等)传开；忙于工作
"
get around,"na. 回避(事实)；往来；避开(法律等)；智胜(某人)
"
get after sb.,"v. 督促；训诫；责备；追逐
"
get along on a shoestring,无
get along,"na. 过日子；生活；团结；进步
"
get along with sb.,"na. (工作)进行
"
get on with sb.,"na. 同“get along ”
"
get along,"na. 过日子；生活；团结；进步
"
get on,"na. 上马；安上；过日子；相投 (with together)
"
get along without ..., 没有…也过得去；可以不需要；没有……也行
get ants in one's pants,无
have ants in one's pants,"na. (因焦急,气愤等而)坐立不安
"
get antsy,无
get at ...,"na. 抓住；了解；到达；拿得到
"
have at ...,v. 攻击；打击
get away from it all, 远离这一切；用出走的办法来摆脱烦恼；摆脱一切
get away,"na. 逃脱；出发；把…送出
"
get away with sth.,"na. 拿走；避开责备[惩罚]；〈俚〉卷(款)潜逃
"
get back at sb.,"na. 报复
"
get back on one's feet, 重新站起来；东山再起；从失败中重新站起来
be back on one's feet,无
get back to sb.,"un. 报复；回到
"
get back,"na. 取回；回来；送回；〈俚〉报复
"
get better,"na. (病)渐愈
"
get butterflies in one's stomach,[口语](临大事前)感到不舒服，感到恶心，感到不安，情绪紧张，心里发慌
have butterflies in one's stomach, 感到紧张；肚子里有蝴蝶；忐忑不安
get by with sth.,用…生活，靠…度日；用…对付过去；(欺骗)成功；侥幸；逃脱处罚
get by,"na. 走过；〈美〉勉强混过去
"
get carried away, 得意忘形；失去理智；不要被拉走了
get close to ..., 接近；靠近；与接近
get close, 靠近；接近拍摄物；靠拢过来
get cold feet,"un. 没有准备；站稳脚跟；畏缩；感到沮丧
"
have cold feet,"na. 临阵退缩；打退堂鼓
"
get credit for sth.,"na. 因…出名
"
get credit,"对……有好处
争功
取得学分"
get down to brass tacks,"na. “Come down to tacks”的变体
"
get down to business,"na. 认真干起来
"
get down to work,"na. 认真工作
"
get down to cases,"讨论重要问题,触及问题实质"
get down to the nitty-gritty,vi.追究根源
get goose bumps,无
have goose bumps,无
get goose pimples,无
have goose pimples,无
get gray hair, 变得非常焦急(或担忧); (因焦虑、担忧而) 变得更苍老
get gray hairs,无
get hold of ...,"v. 抓住；捉住
"
have hold of ...,aux.抓住
get in on the ground floor,"na. 在有利条件下参加某种事业；站在同等地位获得同等权利；取得有利地位
"
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
"
get in one's hair,无
get in one's way,"挡路,妨碍"
get in touch with sb.,"na. 和…联系
"
get in touch, 取得联系；联系我们；和某某人联系
get into a mess,"na. 陷入困境；犯错误
"
be in a mess, 乱七八糟；处境困难；处境狼狈
get into full swing,无
get into high gear,"加快速度,热火朝天地展开"
get into sth., 到达什么地方；这个错误可能使他陷入困境
get into the swing of things, 顺应环境；融入其中；进入状况
get lost,"int. 〈口〉滚开；别烦我
v. 迷路；迷失；陷入…而忽略了…
"
get mixed up,"v. 搞不清
"
get moving, 行动起来；动身吧；快，赶紧
get a raw deal, 吃亏
have a raw deal,无
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get off easy, 摆脱坏事情；没有遇到多少麻烦；幸好问题不大
get off lightly,"na. 轻易逃脱
"
get off on the wrong foot,"na. 第一步就走错了
"
get off to a bad start,开始时不好
Get off one's case!,[美国俚语]让人独自呆着；不要打扰某人；[美国俚语]让人独自(或清静)呆着；停止对别人干扰(或打搅)
Get off one's back!,不再扰乱某人；不再批评某人
Get off one's tail!,着手工作而不坐等某事发生
get on one's nerves,"na. 刺激神经；使人不安；惹恼人
"
get on ...,"na. 上马；安上；过日子；相投 (with together)
"
get on the bandwagon,[口语]看风使舵；赶浪头；人云亦云；(转而)参加得势一方；(转而)支持即将获胜的候选人(或运动)
get on one's bandwagon,无
jump on the bandwagon, 支持有获胜把握的竞选人; 参加有成功希望的事业; 倒向胜利者一边; 趋炎附势
jump on one's bandwagon,无
get lump in one's throat,无
have lump in one's throat,无
get on the good side of sb.,无
get on with ...,"na. 同“get along ”
"
get along with ...,"na. (工作)进行
"
get one's comeuppance,遭到应有的报应；受到应有的处罚
get one's ducks in a row, 安排妥当；准备就绪；妥善处理或安排
get one's feet on the ground,无
have one's feet on the ground,脚踏实地，具有务实的态度
get one's feet wet, 开始参与
get one's fingers burned,吃苦头
get one's foot in the door, 开始涉足于；我迈出成功的第一步
have one's foot in the door,[口语]获得机会参加[见foot]
get one's hands dirty,无
dirty one's hands,弄脏双手，玷污自己(的好名誉)
soil one's hands, 玷污自己的人格；做有失身分的事；干不名誉的事
get one's hands off ...,无
have one's hands off ...,无
take one's hands off ...,无
get one's hands off,无
get one's hands on ...,"un. 大干一番；拿到
"
lay one's hands on ..., 把…弄到手；获得；拥有
lay one's hands on, 把…弄到手；获得；拥有
get one's head above water,无
have one's head above water,无
get one's just desserts,无
get one's money's worth,"na. (钱花得)合算；无损失
"
get one's nose out of one's business,无
get one's second wind, 喘过气来
have one's second wind,无
get one's start,无
have one's start,无
get one's teeth into sth., 死死咬住；认真对待，全神贯注于；紧紧抓住
sink one's teeth into sth.,un. 〔地〕渗入；认真进行；狠狠地咬
get out from under ..., 脱离艰困；解除困境；度过难关
get out of a mess,无
get over ...,"na. 同“get across”
"
get physical with sb.,无
get physical, 保持身体健康；线下沙龙交流；壮丁王二娃
get religion,"na. “experience religion”的变体
"
get rolling,"开始做某事（rolling是roll的现在分词）
着手做某事（rolling是roll的现在分词）"
get second thoughts about ...,无
have second thoughts about ...,无
get set,"na. 预备
"
be set, 准备好
get sick,"na. 生病
"
get wise to ...,"na. 懂得…
"
get wise,"[美国俚语]；了解到真实情况；得知(他人的)秘密；知道；识破, 察觉；醒悟, 警觉(常与 to 连用)"
get sb. off the hook, 解围，摆脱困境，麻烦；脱离困境；摆脱沉迷之物
get off the hook, 解围，摆脱困境，麻烦；脱离困境；摆脱沉迷之物
get one's ear,无
have one's ear, 向…进言
get ... out of one's mind,暂时把某事忘掉；不去想(某事)
get ... under control,vt.控制住
have ... under control,无
get sb. out of a jam,无
get sb. over a barrel,无
have sb. over a barrel,"have over a barrel
[美国俚语] 完全支配某人(尤指在经济方面)"
get sb. under one's thumb,无
get sth. across to sb.,"v. 使…了解；使…接受
"
get sth. across,"na. 使了解；使通过；使人了解；与(人)冲突
"
get sth. off one's chest,"na. 尽情倾诉
"
have sth. off one's chest,无
get sth. off the ground,"na. 飞起；开始
"
get sth. off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get sth. out in the open,无
get sth. out of one's system,无
get something out of sth., 从获益；得到…收获
get sth. straight,"na. 了解
"
have sth. straight,无
get sth. through one's thick skull,无
get sth. into one's thick head,无
get underway, 开始；启程；准备航行
have underway,无
get the air, 被解雇；被抛弃；尤指被女子抛弃
get the ball rolling, 开始；让球滚起来；使蓬勃发展
have the ball rolling,无
set the ball rolling, 开始活动；开始谈话；开始进行某种工作
start the ball rolling, 由某人开始发言；开始某一活动；打开局面
get the better of sb.,"na. 胜过
"
have the better of sb., 战胜；打败；在…中占上风
get the best of sb.,"na. 获胜；胜过
"
get the blues, 情绪低落；郁郁寡欢；蓝光
have the blues,"na. 意外地
"
get the boot,"na. 被开除
"
get the cold shoulder,"受到冷遇,讨个没趣"
get a day off,无
get the day off,无
have a day off, 休假一天；休息一天；请一天假
have the day off,"n. 休假,不用工作"
get the devil,无
catch the devil, 受到严责；受到申斥
get hell,"na. 挨训斥
"
catch hell,"na. 受惩罚
"
get the feel of sth., 掌握某事物；习惯；开始熟谙
have the feel of sth.,无
get the floor,"na. 获得发言权
"
get the glad hand,无
get the go-ahead, 获得批准
get the green light,"na. 准予通行
"
get the hang of sth., 熟悉某物的用法; 掌握做某事的窍门; 理解某事; 鉴赏
have the hang of sth.,vt.  懂得(知道 ... 的决窍)
get the hard sell,无
get the inside track,无
have the inside track, 占据内圈跑道; 占据优势，处于有利地位
get the last laugh, 取得最后胜利；笑在最后
have the last laugh, 笑在最后；取得最后胜利；笑到最后
get the jump on sb.,"na. 抢在…之前行动
"
have the jump on sb.,"na. 抢在…之前行动
"
get the last word,在争论中硬要说出最后一句话;强辩到底
have the last word,"un. 和…聊聊；最后拿主意
"
get the final word,在争论中硬要说出最后一句话;强辩到底
have the final word,在争论中硬要说出最后一句话;强辩到底
get the nod, 被选中；得到许可；被选择
have the nod,无
get the picture,"na. 〈非正式〉明白；了解
"
get the red carpet treatment,无
get the runaround,"有外遇,和异性鬼混"
get the sack,"na. 被解雇；被拒绝
"
get the ax, 炒鱿鱼；解雇
get a load off one's mind,无
get the short end of the stick, 吃亏；占便宜
have the short end of the stick,无
end up with the short end of the stick,无
get the show on the road,"un. 装璜门面；开始动起来
"
get the third degree, 遭到盘问；受到严厉质询
get the upper hand on sb.,无
have the upper hand on sb.,无
get the upper hand, 占上风；得势；占了上风
get the word, 得到命令
have the word,无
get the message,"v. 了解
"
get through sth.,"na. 花光；了结；(使)通过(议案)；及格
"
get through to sb.,"打通…电话;使自己被…理解,把自己的意思对…讲明白"
get through,"na. 花光；了结；(使)通过(议案)；及格
"
get through with sth.,"v. 完成
"
get time for ...,无
have time for ...,无
find time for ...,无
get time off,无
have time off, 有空；歇班；休假
get to one's feet,un. 觉得胆小；站起来
get to the bottom of sth.,"na. 走到…的尽头；彻底查明(问题等)
"
get time to catch one's breath,无
have time to catch one's breath,无
get to the heart of the matter,vi.抓住事物的要点
get at the heart of the matter,无
get together,"na. 聚集；集合；汇齐；积累
"
get tough with sb., 对……采取坚决态度；以强硬的方式对付；采取强硬手段对付
get tough,"na. 凶恶起来；行动勇敢
"
get under one's skin, 使某人感到激动；剌激某人；激怒某人
get up enough nerve to do sth.,无
get up enough nerve,无
get well,"na. 复原
"
get what's coming to one, 咎由自取；得到应有的奖惩；得到应得的报酬
get wind of sth.,"na. 听见；听到…的风声
"
get worked up over sth.,无
get worked up, 作色；动感情；情绪激动
get a big send-off,无
have a big send-off,无
get a Charley horse,无
have a Charley horse,无
get a crush on sb.,[口语](稚气地)爱着，迷恋上…，深深地爱上…(指少年早恋)
have a crush on sb.,"na. 迷恋
"
get a fix on sth., <口>（通过雷达等电子仪器）定出（某物的）位置
have a fix on sth.,无
get a hard time,无
have a hard time,"na. 日子不好过；遭殃
"
get a licking, <口>被痛打，被打败
take a licking,"na. 失败；弄糟；赔本
"
Get a life!,做点有益的事；振作起来；别呆头呆脑
get a red face,无
have a red face,无
get a shellacking,无
take a shellacking,无
get a start,"na. 吃惊
"
have a start,无
get ahead of,"na. 胜过
"
get ahead of ...,"na. 胜过
"
get ahead,"na. 获得成功；前进
"
get along,"na. 过日子；生活；团结；进步
"
get along in years,年老;上年纪
get along,"na. 过日子；生活；团结；进步
"
get around to sth.,"v. 找时间做
"
get away from ...,"v. 逃脱
"
get away,"na. 逃脱；出发；把…送出
"
get back at sb.,"na. 报复
"
have back at sb.,无
get back,"na. 取回；回来；送回；〈俚〉报复
"
get busy,"na. 干起来
"
get by on sth., 靠……过活
get by,"na. 走过；〈美〉勉强混过去
"
get cracking,"na. 〈非正式〉立即行动
"
get dolled up,无
get all dolled up, 盛装；打扮的花枝招展
get down to sth.,"v. 认真对待
"
get down to the facts,无
get even with sb.,偿还债务；向(某人)报仇；报复(某人)
get even,"un. 认真对待；定下心来做；报复
"
get fresh with sb.,对 ... 放肆无礼
get fresh,"na. 厚脸起来；变得无礼
"
get in on sth., 参加；加入；参与
be in on sth.,"v. 参预；加入
"
get into an argument with sb.,"na. 与…发生争论
"
get involved with ...,"na. 给…缠住
"
get involved, 参与；参与我们；介入
get it all together, 沉着冷静；沉着应战；不慌不忙
have it all together,[美国俚语]；把生活安排得井井有条；使身心都得到平衡
get it together, 振作起来；打起精神；一起分享
get it in the neck,"na. 大受攻击；遭殃
"
get mad at ...,无
get mad,"v. 发怒
"
Get off it!,"别胡扯了,别装模作样了"
get on ...,"na. 上马；安上；过日子；相投 (with together)
"
get one's best shot,无
have one's best shot,无
get one's dander up,[口语]发怒，动怒，恼火，发脾气
get one's back up,"na. 发怒
"
get one's hackles up, 令人发指
get one's Irish up,冒火，动怒，发脾气
have one's dander up,无
have one's back up,发怒，生气
have one's hackles up,无
have one's Irish up,无
get one's goat,激怒某人；嘲弄某人；挫伤某人
get one's fill of ...,无
have one's fill of ...,饱受…；厌倦于…
get one's number,无
have one's number,un. 摸熟某人的脾气；对某人的人品心中有数
get one's say,无
have one's say,"un. 发言权；表达意见
"
get one's way with ...,无
have one's way with ..., 与某人发生性关系
get one's way, 随心所欲；如某人所愿；得逞
get one's wits about one,无
have one's wits about one,"na. 头脑冷静；保持警惕
"
get out,"na. 摆脱；走出；〔命令语气〕出去!
"
get out of one's way,无
get out of sth.,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
"
get ready to do,无
get ready to do sth.,无
get ready, 准备好；预备；做好准备
get ... down,"na. 开始认真对待；落下；下车；写下
"
get ... out of the way,"v. 解决；除去
"
get ... started,"v. 开始
"
have ... started,无
get something on sb.,无
have something on sb., 拿着某人的把柄；抓住某人的把柄
get stars in one's eyes,无
have stars in one's eyes, 天真烂熳
get sth.,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
get it,"na. 懂得；挨骂
"
get sth. back,"na. 取回；回来；送回；〈俚〉报复
"
get sth. off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get off sth.,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get sth. over with,"un. 就会过去；把…安排好；干脆了事
"
have sth. over with,无
get sth. over,"na. 同“get across”
"
get sth. sewed up,无
have sth. sewed up,无
get sth. under one's belt,无
have sth. under one's belt,无
get the advantage of sb.,"胜过,优于"
get an advantage of sb.,"胜过,优于"
get the advantage over sb.,"胜过,优于"
get an advantage over sb.,"胜过,优于"
have the advantage of sb.,"un. 得天独厚；有机会；比…幸运；比…有利
"
have an advantage of sb.,有…的优点
have the advantage over sb., 胜过；此词条
have an advantage over sb.,"na. 胜过
"
get the edge on sb.,无
get an edge on sb., 胜过；怀恨某人；胜过某人
get the edge over sb.,无
get an edge over sb.,〈俚〉胜过某人;〈美〉怀恨某人
have the edge on sb., 比……优越；比…强；战胜
have an edge on sb.,有点醉，微醉，略有醉意；(略为)胜过；(略)占优势；怨恨(某人)；怀恨(某人)
have the edge over sb., 比……占着有利地位；略胜一筹
have an edge over sb., 比某人占优势；更有优势
get the brushoff,碰了个钉子，未受注意，未被采纳，未被理睬，受到冷遇；碰了个钉子，未受注意，未被采纳，未被理睬，受到冷遇
get the business,"na. (被)粗暴地对待；(被)作弄
"
get the creeps,无
have the creeps,无
get the willies,无
have the willies,无
get the gate,"na. 被赶出
"
get the go-by,[口语]被忽视；被冷落
get the goods on sb., 抓到……的把柄；抓到某人的把柄
have the goods on sb.,vt.  知道内幕(在 ... 身上发现确凿的罪证)
get the high sign,无
get the lead out of one's pants,[美国俚语]别再拖拖拉拉；赶紧行动起来；加紧干；[美国俚语]加紧工作；开始工作，干起来
shake the lead out of one's pants,无
get the lowdown on ...,[俚语]知道…的内幕(或实情)
get the lowdown,无
get the old heave-ho,[口语]被(某人)抛弃；被(某人)解雇
have the old heave-ho,无
get the heave-ho,[口语]被(某人)抛弃；被(某人)解雇
get the once-over,无
get the slip,无
get the works,"na. 遭虐待；被杀
"
get the worst of sth., 失败于
have the worst of sth.,在…中被击败
get to first base,"na. 取得成功的；完成了第一步
"
get to first base with ...,无
reach first base,= get to first base
reach first base with ...,无
get two strikes against one,无
have two strikes against one,"na. 三击中有二击不中；〔美口语〕处境不利
"
get underway, 开始；启程；准备航行
be underway, 在进行中；处理之中；正在进行
get up,"na. 起床；起身；站起来；叫…起床
"
get used to ...,"na. 变得习惯于
"
get wet, 淋湿；弄湿；变湿
get what for,无
get with sth., 开始做；着手做
be with sth.,"na. 患(肺炎)
"
